split,instrument,signal_bar_close_trades,next_bar_open_trades,trade_count_delta,signal_bar_close_expectancy_r,next_bar_open_expectancy_r,expectancy_r_delta
train,AUD_USD,45,44,-1,0.07690394428336135,0.10354068691733288,0.0266
train,EUR_USD,36,35,-1,0.054170616230675823,0.21316787863230244,0.159
train,GBP_USD,38,38,0,-0.11462791413902956,-0.11212480380973194,0.0025
train,USD_CAD,41,41,0,-0.3864948625345241,-0.3853830360166346,0.0011
train,USD_CHF,22,22,0,-0.04758487926684776,-0.010422838730972868,0.0372
train,USD_JPY,37,37,0,0.0018179734000833177,0.0020304971363490306,0.0002
validation,AUD_USD,26,22,-4,0.08519934105905105,0.16550450787584933,0.0803
validation,EUR_USD,20,22,2,0.26830648800730794,-0.10723763636633893,-0.3755
validation,GBP_USD,28,25,-3,0.08621702226456687,0.0924870255202158,0.0063
validation,USD_CAD,18,17,-1,0.1049663228773391,0.1586005717613228,0.0536
validation,USD_CHF,21,22,1,0.06638164063987795,-0.17992613364703133,-0.2463
validation,USD_JPY,25,25,0,8.42396690918654e-05,8.498817507528514e-05,0.0
