instrument,bucket,horizon,n,mean_fade_pips,median_fade_pips,reversion_rate,sem
EUR_USD,low,1,711,1.74768,25.6,0.526,1.16756
EUR_USD,medium,1,711,2.11406,27.0,0.5359,1.16146
EUR_USD,high,1,709,-0.19083,-21.2,0.4979,1.18265
EUR_USD,ultra_thin_tail,1,214,-1.48178,-25.55,0.4673,2.11212
EUR_USD,unconditional,1,2131,1.22496,25.1,0.5199,0.67618
EUR_USD,low,2,711,2.33319,0.1,0.5021,1.63007
EUR_USD,medium,2,710,2.0969,0.2,0.5127,1.59664
EUR_USD,high,2,709,-1.16587,-0.1,0.4824,1.65187
EUR_USD,ultra_thin_tail,2,214,0.93318,0.0,0.4813,2.85786
EUR_USD,unconditional,2,2130,1.08972,0.0,0.4991,0.9396
EUR_USD,low,3,711,3.96892,25.0,0.5471,2.00307
EUR_USD,medium,3,709,1.06093,20.8,0.5092,1.91625
EUR_USD,high,3,709,-1.08843,-20.8,0.4795,2.02853
EUR_USD,ultra_thin_tail,3,214,5.34299,23.25,0.5374,3.55762
EUR_USD,unconditional,3,2129,1.3163,20.8,0.512,1.1459
GBP_USD,low,1,1283,0.46259,15.2,0.5074,0.89071
GBP_USD,medium,1,1285,0.68708,20.6,0.5121,0.86558
GBP_USD,high,1,1284,0.33255,23.15,0.5109,0.87699
GBP_USD,ultra_thin_tail,1,386,0.04067,11.05,0.5078,1.73144
GBP_USD,unconditional,1,3852,0.49413,20.6,0.5101,0.50681
GBP_USD,low,2,1282,1.25944,0.2,0.5078,1.24757
GBP_USD,medium,2,1285,0.55268,0.0,0.4934,1.23079
GBP_USD,high,2,1284,0.69875,-0.2,0.4813,1.22983
GBP_USD,ultra_thin_tail,2,385,0.54052,0.6,0.5247,2.48122
GBP_USD,unconditional,2,3851,0.83667,0.0,0.4942,0.71367
GBP_USD,low,3,1282,0.51014,5.1,0.507,1.52915
GBP_USD,medium,3,1285,-0.8793,-1.4,0.4996,1.48796
GBP_USD,high,3,1283,1.02432,19.3,0.516,1.49157
GBP_USD,ultra_thin_tail,3,385,-0.71792,7.4,0.5143,2.9857
GBP_USD,unconditional,3,3850,0.21774,10.6,0.5075,0.86784
USD_JPY,low,1,1468,0.20736,4.95,0.502,0.85016
USD_JPY,medium,1,1467,-0.03933,7.8,0.5017,0.85517
USD_JPY,high,1,1467,-0.80334,-23.2,0.4819,0.82037
USD_JPY,ultra_thin_tail,1,441,1.1102,5.5,0.5102,1.64497
USD_JPY,unconditional,1,4402,-0.21168,-12.65,0.4952,0.4862
USD_JPY,low,2,1468,0.57084,0.1,0.5014,1.20667
USD_JPY,medium,2,1466,2.10982,0.4,0.5232,1.21005
USD_JPY,high,2,1467,-1.4469,-0.2,0.4806,1.17712
USD_JPY,ultra_thin_tail,2,441,2.3737,0.6,0.5215,2.35742
USD_JPY,unconditional,2,4401,0.41091,0.1,0.5017,0.69203
USD_JPY,low,3,1468,-0.67657,-10.55,0.4891,1.47963
USD_JPY,medium,3,1465,2.7602,19.7,0.5215,1.48251
USD_JPY,high,3,1467,-1.5604,-19.7,0.4765,1.428
USD_JPY,ultra_thin_tail,3,441,0.70113,1.9,0.5034,2.84971
USD_JPY,unconditional,3,4400,0.17305,-5.35,0.4957,0.84547
