instrument,bucket,horizon,n,mean_fade_pips,median_fade_pips,reversion_rate,sem
USD_JPY,small,1,1125,-0.34942,-16.8,0.4969,0.93837
USD_JPY,medium,1,1101,-0.21562,-21.6,0.4905,0.94031
USD_JPY,large,1,1086,0.11759,11.25,0.5037,1.01046
USD_JPY,extreme,1,1090,-0.39358,-11.6,0.4899,1.00081
USD_JPY,top5pct_tail,1,222,0.27523,6.0,0.518,2.44305
USD_JPY,unconditional,1,4402,-0.21168,-12.65,0.4952,0.4862
USD_JPY,small,2,1125,-0.18169,-0.2,0.4782,1.38222
USD_JPY,medium,2,1101,-0.30926,0.1,0.5059,1.37626
USD_JPY,large,2,1085,1.13862,-0.0,0.4995,1.39826
USD_JPY,extreme,2,1090,1.0256,0.5,0.5239,1.3787
USD_JPY,top5pct_tail,2,222,3.22207,1.95,0.5586,3.41614
USD_JPY,unconditional,2,4401,0.41091,0.1,0.5017,0.69203
USD_JPY,small,3,1124,-0.87669,-16.65,0.4867,1.65716
USD_JPY,medium,3,1101,1.05159,10.8,0.5041,1.68385
USD_JPY,large,3,1085,1.20387,3.8,0.5005,1.71413
USD_JPY,extreme,3,1090,-0.65798,-8.3,0.4917,1.70884
USD_JPY,top5pct_tail,3,222,-1.22387,-7.95,0.4865,4.24139
USD_JPY,unconditional,3,4400,0.17305,-5.35,0.4957,0.84547
EUR_USD,small,1,564,2.57784,27.05,0.5426,1.32955
EUR_USD,medium,1,529,0.3121,17.9,0.5066,1.3509
EUR_USD,large,1,511,1.32368,26.0,0.5225,1.3583
EUR_USD,extreme,1,527,0.59772,19.5,0.5066,1.36818
EUR_USD,top5pct_tail,1,107,-2.26449,-26.0,0.4579,3.12006
EUR_USD,unconditional,1,2131,1.22496,25.1,0.5199,0.67618
EUR_USD,small,2,563,3.71492,0.3,0.5187,1.90162
EUR_USD,medium,2,529,-0.74234,-0.2,0.4877,1.85446
EUR_USD,large,2,511,0.82348,0.0,0.4971,1.88982
EUR_USD,extreme,2,527,0.38235,-0.0,0.4915,1.85752
EUR_USD,top5pct_tail,2,107,0.23271,-0.6,0.4673,4.05369
EUR_USD,unconditional,2,2130,1.08972,0.0,0.4991,0.9396
EUR_USD,small,3,563,3.48313,24.7,0.5329,2.32026
EUR_USD,medium,3,528,-1.12992,-18.0,0.4905,2.18444
EUR_USD,large,3,511,1.69119,-12.2,0.499,2.36188
EUR_USD,extreme,3,527,1.0888,21.9,0.5237,2.2869
EUR_USD,top5pct_tail,3,107,1.66168,24.2,0.5888,5.10459
EUR_USD,unconditional,3,2129,1.3163,20.8,0.512,1.1459
GBP_USD,small,1,1002,0.73094,23.2,0.512,0.98099
GBP_USD,medium,1,964,1.27656,24.55,0.5197,1.00073
GBP_USD,large,1,928,0.14526,11.9,0.5065,1.01262
GBP_USD,extreme,1,958,-0.20292,5.85,0.5021,1.05941
GBP_USD,top5pct_tail,1,196,-0.975,-2.8,0.5,2.57982
GBP_USD,unconditional,1,3852,0.49413,20.6,0.5101,0.50681
GBP_USD,small,2,1002,0.82535,0.0,0.497,1.41466
GBP_USD,medium,2,963,1.23385,0.2,0.5099,1.35645
GBP_USD,large,2,928,-0.78017,-0.5,0.458,1.42353
GBP_USD,extreme,2,958,2.01545,0.3,0.5104,1.50858
GBP_USD,top5pct_tail,2,196,3.40867,0.5,0.5204,3.48689
GBP_USD,unconditional,2,3851,0.83667,0.0,0.4942,0.71367
GBP_USD,small,3,1001,0.13137,-12.6,0.4935,1.72393
GBP_USD,medium,3,963,-0.43583,17.4,0.5119,1.65221
GBP_USD,large,3,928,-1.20086,-4.55,0.4989,1.72884
GBP_USD,extreme,3,958,2.33914,19.3,0.5261,1.83003
GBP_USD,top5pct_tail,3,196,4.33418,16.65,0.5459,4.02895
GBP_USD,unconditional,3,3850,0.21774,10.6,0.5075,0.86784
