instrument,bar_type,method,threshold_pips,bar_count,bars_per_year,bars_per_day,median_minutes_per_bar,avg_overshoot_pips,multi_threshold_rate,spread_pips,round_trip_cost_pips,cost_to_threshold,baseline_stop_pips,cost_to_risk_baseline,cost_to_risk_wide,min_gross_edge_baseline_r,cadence_class,label
AUD_USD,range,,10.0,14694,5668.11,15.518,32.0,1.4743,0.0154,1.4864,1.8864,0.1886,20.0,0.0943,0.0472,0.0943,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
AUD_USD,range,,15.0,6833,2635.78,7.216,74.0,1.6321,0.011,1.4864,1.8864,0.1258,30.0,0.0629,0.0314,0.0629,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
AUD_USD,range,,20.0,3855,1487.04,4.071,139.0,1.819,0.0093,1.4864,1.8864,0.0943,40.0,0.0472,0.0236,0.0472,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
AUD_USD,range,,25.0,2458,948.16,2.596,231.0,1.8883,0.0085,1.4864,1.8864,0.0755,50.0,0.0377,0.0189,0.0377,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
AUD_USD,range,,30.0,1754,676.59,1.852,366.5,2.0961,0.0068,1.4864,1.8864,0.0629,60.0,0.0314,0.0157,0.0314,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
AUD_USD,volatility,abs_close,20.0,40778,15729.85,43.066,20.0,0.9447,0.0012,1.4864,1.8864,0.0943,20.0,0.0943,0.0472,0.0943,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
AUD_USD,volatility,abs_close,30.0,27587,10641.5,29.135,31.0,0.959,0.001,1.4864,1.8864,0.0629,30.0,0.0629,0.0314,0.0629,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
AUD_USD,volatility,abs_close,40.0,20850,8042.75,22.02,41.0,0.9629,0.0003,1.4864,1.8864,0.0472,40.0,0.0472,0.0236,0.0472,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
AUD_USD,volatility,abs_close,50.0,16751,6461.59,17.691,52.0,0.9856,0.0004,1.4864,1.8864,0.0377,50.0,0.0377,0.0189,0.0377,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
AUD_USD,volatility,true_range,20.0,68552,26443.48,72.398,11.0,1.2111,0.0013,1.4864,1.8864,0.0943,20.0,0.0943,0.0472,0.0943,very_high,TOO_NOISY
AUD_USD,volatility,true_range,30.0,46558,17959.44,49.17,17.0,1.2306,0.0007,1.4864,1.8864,0.0629,30.0,0.0629,0.0314,0.0629,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
AUD_USD,volatility,true_range,40.0,35253,13598.61,37.231,23.0,1.246,0.0003,1.4864,1.8864,0.0472,40.0,0.0472,0.0236,0.0472,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
AUD_USD,volatility,true_range,50.0,28375,10945.47,29.967,29.0,1.2434,0.0002,1.4864,1.8864,0.0377,50.0,0.0377,0.0189,0.0377,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
EUR_USD,range,,10.0,18243,7037.12,19.267,20.0,1.7967,0.0217,1.615,2.015,0.2015,20.0,0.1008,0.0504,0.1008,sane,COST_DOMINATED
EUR_USD,range,,15.0,8377,3231.37,8.847,46.0,2.0559,0.0143,1.615,2.015,0.1343,30.0,0.0672,0.0336,0.0672,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
EUR_USD,range,,20.0,4858,1873.94,5.131,81.5,2.3179,0.0111,1.615,2.015,0.1008,40.0,0.0504,0.0252,0.0504,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
