instrument,kind,n,mean_pips,median_pips,p90_pips,p99_pips,std_pips,asian,london,overlap,ny
EUR_GBP,cross,1823232,1.682,1.4,1.8,8.4,1.282,1.4,1.4,1.6,1.5
EUR_JPY,cross,1841779,2.448,2.1,2.9,13.1,1.704,2.0,1.9,2.5,2.1
GBP_JPY,cross,1852770,3.667,3.1,4.1,17.3,3.042,3.0,2.9,3.6,3.3
AUD_JPY,cross,1857000,2.256,1.9,2.5,11.7,1.755,1.9,1.9,2.3,2.0
NZD_JPY,cross,1845840,2.848,2.5,3.3,14.7,2.244,2.4,2.4,2.9,2.5
EUR_CHF,cross,1811686,1.968,1.6,2.1,12.3,1.718,1.6,1.6,1.8,1.7
GBP_CHF,cross,1838790,2.744,2.2,3.0,19.9,3.218,2.1,2.0,2.6,2.3
EUR_AUD,cross,1849425,3.249,2.6,4.1,17.8,2.724,2.5,2.4,3.3,2.7
EUR_USD,major,1843476,1.632,1.5,1.7,4.9,0.65,1.5,1.5,1.6,1.6
GBP_USD,major,1836170,2.139,1.9,2.3,9.9,1.502,1.8,1.8,2.1,2.0
USD_JPY,major,1844454,1.825,1.7,2.1,7.3,0.94,1.7,1.6,1.9,1.7
AUD_USD,major,1822196,1.446,1.3,1.5,4.9,0.79,1.3,1.3,1.5,1.3
USD_CAD,major,1836013,2.057,1.9,2.3,7.3,1.057,1.9,1.8,2.1,2.0
USD_CHF,major,1786535,1.855,1.6,1.9,11.8,1.564,1.5,1.5,1.7,1.6
NZD_USD,major,1824352,1.742,1.5,1.9,7.0,1.213,1.5,1.5,1.7,1.6
