instrument,split,side,entry_time,exit_time,result_r,exit_reason,bars_held,mfe_status,mfe_r,mae_r,reached_plus_0_25r,reached_plus_0_5r,reached_plus_1_0r,touched_minus_0_5r,touched_minus_0_9r,bars_to_exit,open_at_h2,reached_plus_025_h2,reached_plus_05_h2,mae_by_h2,no_continuation_h2,early_favorable_displacement_h2,early_adverse_expansion_h2,early_retest_hold_h2,early_reclaim_failure_h2,range_compression_after_entry_h2,open_at_h4,reached_plus_025_h4,reached_plus_05_h4,mae_by_h4,no_continuation_h4,early_favorable_displacement_h4,early_adverse_expansion_h4,early_retest_hold_h4,early_reclaim_failure_h4,range_compression_after_entry_h4,open_at_h8,reached_plus_025_h8,reached_plus_05_h8,mae_by_h8,no_continuation_h8,early_favorable_displacement_h8,early_adverse_expansion_h8,early_retest_hold_h8,early_reclaim_failure_h8,range_compression_after_entry_h8,open_at_h16,reached_plus_025_h16,reached_plus_05_h16,mae_by_h16,no_continuation_h16,early_favorable_displacement_h16,early_adverse_expansion_h16,early_retest_hold_h16,early_reclaim_failure_h16,range_compression_after_entry_h16,trap_or_failed_breakout,time_to_first_plus_025,time_to_first_plus_05,time_to_first_plus_10,time_to_first_minus_025,time_to_first_minus_05,time_to_first_minus_09,profitable_trade,survived_to_time_exit,hard_stop_loss,clean_winner,straight_to_stop
USD_JPY,train,short,2021-07-09T10:00:00+00:00,2021-07-09T13:45:00+00:00,-0.0090793535500272,hard_stop,16,OK,0.846154,-1.446154,True,True,False,True,True,15,True,True,True,0.076923,False,True,False,False,False,True,True,True,True,-0.030769,False,True,False,True,False,True,True,True,True,-0.546154,False,False,False,True,True,False,False,True,True,-1.446154,False,False,False,True,True,False,False,1.0,1.0,,6.0,6.0,15.0,False,False,True,False,False
USD_JPY,train,short,2021-07-15T13:30:00+00:00,2021-07-15T14:45:00+00:00,-0.0090865310350467,hard_stop,6,OK,0.429553,-0.979381,True,False,False,True,True,5,True,True,False,-0.402062,False,True,False,True,True,True,True,True,False,-0.883162,False,False,False,True,True,False,False,True,False,-0.979381,False,False,False,True,True,False,False,True,False,-0.979381,False,False,False,True,True,False,False,1.0,,,2.0,3.0,5.0,False,False,True,False,False
USD_JPY,train,short,2021-07-15T17:30:00+00:00,2021-07-16T02:30:00+00:00,-0.0090864484707507,hard_stop,29,OK,1.52549,-1.156863,True,True,True,True,True,28,True,True,True,0.019608,False,True,False,False,False,True,True,True,True,0.019608,False,True,False,False,False,True,True,True,True,0.019608,False,True,False,False,False,False,True,True,True,0.019608,False,True,False,False,False,False,False,1.0,2.0,7.0,23.0,24.0,26.0,False,False,True,False,False
USD_JPY,train,short,2021-07-20T09:30:00+00:00,2021-07-20T14:15:00+00:00,-0.0091159364801546,hard_stop,20,OK,1.624113,-1.35461,True,True,True,True,True,19,True,True,True,0.439716,False,True,False,False,False,True,True,True,True,0.439716,False,True,False,False,False,False,True,True,True,-0.312057,False,True,False,True,True,False,True,True,True,-0.489362,False,True,False,True,True,False,False,1.0,1.0,1.0,7.0,18.0,19.0,False,False,True,False,False
USD_JPY,train,long,2021-09-28T15:00:00+00:00,2021-09-28T15:30:00+00:00,-0.0089885216578429,hard_stop,3,OK,-0.158654,-1.048077,False,False,False,True,True,2,False,False,False,-1.048077,True,False,True,False,True,True,False,False,False,-1.048077,True,False,True,False,True,True,False,False,False,-1.048077,True,False,True,False,True,True,False,False,False,-1.048077,True,False,True,False,True,True,True,,,,1.0,1.0,2.0,False,False,True,False,True
USD_JPY,train,long,2021-09-28T17:00:00+00:00,2021-09-29T03:15:00+00:00,0.0009444792589993,time_stop,32,OK,1.331579,-0.468421,True,True,True,False,False,31,True,True,False,0.068421,False,True,False,False,False,True,True,True,True,0.068421,False,True,False,False,False,True,True,True,True,0.068421,False,True,False,False,False,False,True,True,True,0.068421,False,True,False,True,True,False,False,1.0,3.0,8.0,30.0,,,True,True,False,True,False
USD_JPY,train,long,2021-09-29T10:30:00+00:00,2021-09-29T18:45:00+00:00,0.0343330604549626,time_stop,32,OK,4.320635,-0.346032,True,True,True,False,False,31,True,False,False,-0.346032,True,False,False,True,True,True,True,True,True,-0.346032,False,True,False,True,True,True,True,True,True,-0.346032,False,True,False,True,True,False,True,True,True,-0.346032,False,True,False,True,True,False,True,3.0,3.0,7.0,1.0,,,True,True,False,True,False
USD_JPY,train,long,2021-10-05T08:45:00+00:00,2021-10-05T16:30:00+00:00,0.0174038133386632,time_stop,32,OK,2.916667,-0.484848,True,True,True,False,False,31,True,False,False,-0.371212,True,False,False,True,False,True,True,False,False,-0.484848,True,False,False,True,True,True,True,True,False,-0.484848,False,True,False,True,True,False,True,True,True,-0.484848,False,True,False,True,True,False,False,7.0,10.0,10.0,1.0,,,True,True,False,True,False
USD_JPY,train,long,2021-10-06T16:45:00+00:00,2021-10-07T03:30:00+00:00,0.0017829463676063,time_stop,32,OK,0.721854,-0.589404,True,True,False,True,False,31,True,True,False,-0.350993,False,True,False,True,False,True,True,True,False,-0.350993,False,True,False,True,False,False,True,True,True,-0.350993,False,True,False,True,False,False,True,True,True,-0.350993,False,True,False,True,True,False,False,2.0,6.0,,1.0,17.0,,True,True,False,False,False
USD_JPY,train,long,2021-10-12T08:00:00+00:00,2021-10-12T15:45:00+00:00,0.0186485107580795,time_stop,32,OK,2.725714,-0.445714,True,True,True,False,False,31,True,True,False,-0.222857,False,True,False,True,False,True,True,True,True,-0.222857,False,True,False,True,False,True,True,True,True,-0.445714,False,True,False,True,True,False,True,True,True,-0.445714,False,True,False,True,True,False,False,1.0,3.0,17.0,7.0,,,True,True,False,True,False
